episode,phase,step0_tool,reward,success,top_patterns
0,Tool Familiarization,standard,1.0,1,operator.add:0.100|arithmetic:0.010|float:0.010
1,Tool Familiarization,standard,-1.0,0,operator.add:0.778|index:0.037|re_findall:0.037
2,Tool Familiarization,standard,1.0,1,operator.add:0.778|sympy.sympify:0.100|index:0.037
3,Tool Familiarization,standard,1.0,1,operator.add:0.708|sympy.sympify:0.102|sympy.sympify:0.100
4,Tool Familiarization,standard,1.0,1,operator.add:0.708|sympy.sympify:0.102|sympy.sympify:0.100
5,Tool Familiarization,standard,1.0,1,operator.add:0.708|sympy.sympify:0.102|sympy.sympify:0.100
6,Tool Familiarization,standard,1.0,1,operator.add:0.708|sympy.sympify:0.102|sympy.sympify:0.100
7,Tool Familiarization,standard,-1.0,0,operator.add:0.508|sympy.sympify:0.161|operator.add:0.069
8,Tool Familiarization,standard,-1.0,0,operator.add:0.442|sympy.sympify:0.226|operator.add:0.084
9,Tool Familiarization,standard,-1.0,0,operator.add:0.374|sympy.sympify:0.244|operator.add:0.114
10,Tool Familiarization,standard,-1.0,0,operator.add:0.289|sympy.sympify:0.246|operator.add:0.158
11,Tool Familiarization,standard,-1.0,0,sympy.sympify:0.228|operator.add:0.218|operator.add:0.192
12,Tool Familiarization,standard,1.0,1,sympy.sympify:0.228|operator.add:0.218|operator.add:0.192
13,Tool Familiarization,standard,1.0,1,sympy.sympify:0.228|operator.add:0.218|operator.add:0.192
14,Tool Familiarization,standard,1.0,1,sympy.sympify:0.228|operator.add:0.218|operator.add:0.192
15,Tool Familiarization,standard,1.0,1,sympy.sympify:0.228|operator.add:0.218|operator.add:0.192
16,Tool Familiarization,standard,1.0,1,sympy.sympify:0.228|operator.add:0.218|operator.add:0.192
17,Tool Familiarization,standard,1.0,1,sympy.sympify:0.228|operator.add:0.218|operator.add:0.192
18,Tool Familiarization,standard,-1.0,0,operator.add:0.133|sympy.sympify:0.108|sympy.sympify:0.101
19,Tool Familiarization,standard,1.0,1,operator.add:0.133|sympy.sympify:0.108|sympy.sympify:0.101
20,Tool Familiarization,standard,1.0,1,operator.add:0.133|sympy.sympify:0.108|sympy.sympify:0.101
21,Tool Familiarization,standard,-1.0,0,operator.add:0.108|sympy.sympify:0.088|sympy.sympify:0.083
22,Tool Familiarization,standard,-1.0,0,operator.add:0.102|operator.add:0.102|operator.add:0.100
23,Tool Familiarization,standard,-1.0,0,operator.add:0.121|operator.add:0.120|operator.add:0.115
24,Tool Familiarization,standard,1.0,1,operator.add:0.121|operator.add:0.120|operator.add:0.115
25,Tool Familiarization,standard,-1.0,0,operator.add:0.127|operator.add:0.119|operator.add:0.118
26,Tool Familiarization,standard,-1.0,0,operator.add:0.146|operator.add:0.135|operator.add:0.122
27,Tool Familiarization,standard,-1.0,0,operator.add:0.166|operator.add:0.140|operator.add:0.125
28,Tool Familiarization,standard,-1.0,0,operator.add:0.193|operator.add:0.132|operator.add:0.125
29,Tool Familiarization,standard,1.0,1,operator.add:0.193|operator.add:0.132|operator.add:0.125
30,Tool Familiarization,standard,1.0,1,operator.add:0.193|operator.add:0.132|operator.add:0.125
31,Tool Familiarization,standard,-1.0,0,operator.add:0.184|operator.add:0.106|operator.add:0.099
32,Tool Familiarization,standard,-1.0,0,operator.add:0.205|operator.add:0.107|operator.add:0.106
33,Tool Familiarization,standard,1.0,1,operator.add:0.205|operator.add:0.107|operator.add:0.106
34,Tool Familiarization,standard,1.0,1,operator.add:0.205|operator.add:0.107|operator.add:0.106
35,Tool Familiarization,standard,1.0,1,operator.add:0.205|operator.add:0.107|operator.add:0.106
36,Tool Familiarization,standard,-1.0,0,operator.add:0.165|operator.add:0.094|operator.add:0.087
37,Tool Familiarization,standard,1.0,1,operator.add:0.165|operator.add:0.100|operator.add:0.094
38,Tool Familiarization,standard,1.0,1,operator.add:0.165|operator.add:0.100|sympy.sympify:0.100
39,Tool Familiarization,standard,1.0,1,operator.add:0.134|sympy.sympify:0.100|operator.add:0.093
40,Tool Familiarization,standard,1.0,1,operator.add:0.134|sympy.sympify:0.100|sympy.sympify:0.100
41,Tool Familiarization,standard,-1.0,0,sympy.sympify:0.152|operator.add:0.142|operator.add:0.090
42,Tool Familiarization,standard,1.0,1,sympy.sympify:0.152|operator.add:0.142|operator.add:0.100
43,Tool Familiarization,standard,1.0,1,sympy.sympify:0.152|operator.add:0.142|operator.add:0.100
44,Tool Familiarization,standard,1.0,1,sympy.sympify:0.152|operator.add:0.142|operator.add:0.100
45,Tool Familiarization,standard,-1.0,0,sympy.sympify:0.163|operator.add:0.150|sympy.sympify:0.068
46,Tool Familiarization,standard,1.0,1,sympy.sympify:0.163|operator.add:0.150|sympy.sympify:0.100
47,Tool Familiarization,standard,1.0,1,sympy.sympify:0.150|operator.add:0.137|sympy.sympify:0.102
48,Tool Familiarization,standard,1.0,1,sympy.sympify:0.150|operator.add:0.137|sympy.sympify:0.102
49,Tool Familiarization,standard,-1.0,0,sympy.sympify:0.172|sympy.sympify:0.145|operator.add:0.118
50,Tool Familiarization,standard,-1.0,0,sympy.sympify:0.207|sympy.sympify:0.170|operator.add:0.107
51,Tool Familiarization,standard,1.0,1,sympy.sympify:0.207|sympy.sympify:0.170|operator.add:0.107
52,Tool Familiarization,standard,1.0,1,sympy.sympify:0.190|sympy.sympify:0.155|sympy.sympify:0.101
53,Tool Familiarization,standard,1.0,1,sympy.sympify:0.190|sympy.sympify:0.155|sympy.sympify:0.101
54,Tool Familiarization,standard,-1.0,0,sympy.sympify:0.179|sympy.sympify:0.166|sympy.sympify:0.137
55,Tool Familiarization,standard,-1.0,0,sympy.sympify:0.254|sympy.sympify:0.159|sympy.sympify:0.130
56,Tool Familiarization,standard,1.0,1,sympy.sympify:0.254|sympy.sympify:0.159|sympy.sympify:0.130
57,Tool Familiarization,standard,1.0,1,sympy.sympify:0.254|sympy.sympify:0.159|sympy.sympify:0.130
58,Tool Familiarization,standard,1.0,1,sympy.sympify:0.254|sympy.sympify:0.159|sympy.sympify:0.130
59,Tool Familiarization,standard,1.0,1,sympy.sympify:0.254|sympy.sympify:0.159|sympy.sympify:0.130
60,Tool Familiarization,standard,1.0,1,sympy.sympify:0.254|sympy.sympify:0.159|sympy.sympify:0.130
61,Tool Familiarization,standard,1.0,1,sympy.sympify:0.254|sympy.sympify:0.159|sympy.sympify:0.130
62,Tool Familiarization,standard,-1.0,0,sympy.sympify:0.194|sympy.sympify:0.096|sympy.sympify:0.081
63,Tool Familiarization,standard,-1.0,0,sympy.sympify:0.210|sympy.sympify:0.087|sympy.sympify:0.079
64,Tool Familiarization,standard,-1.0,0,sympy.sympify:0.219|sympy.sympify:0.078|sympy.sympify:0.076
65,Tool Familiarization,standard,1.0,1,sympy.sympify:0.219|operator.add:0.100|sympy.sympify:0.078
66,Tool Familiarization,standard,-1.0,0,sympy.sympify:0.201|sympy.sympify:0.083|operator.add:0.075
67,Tool Familiarization,standard,-1.0,0,sympy.sympify:0.202|sympy.sympify:0.092|sympy.sympify:0.081
68,Tool Familiarization,standard,-1.0,0,sympy.sympify:0.197|sympy.sympify:0.103|sympy.sympify:0.090
69,Tool Familiarization,standard,-1.0,0,sympy.sympify:0.173|sympy.sympify:0.116|sympy.sympify:0.103
70,Tool Familiarization,standard,-1.0,0,sympy.sympify:0.144|sympy.sympify:0.128|sympy.sympify:0.109
71,Tool Familiarization,standard,-1.0,0,sympy.sympify:0.140|sympy.sympify:0.120|sympy.sympify:0.109
72,Tool Familiarization,standard,-1.0,0,sympy.sympify:0.151|sympy.sympify:0.112|sympy.sympify:0.101
73,Tool Familiarization,standard,-1.0,0,sympy.sympify:0.160|sympy.sympify:0.121|sympy.sympify:0.101
74,Tool Familiarization,standard,1.0,1,sympy.sympify:0.160|sympy.sympify:0.121|sympy.sympify:0.101
75,Tool Familiarization,standard,1.0,1,sympy.sympify:0.160|sympy.sympify:0.121|sympy.sympify:0.101
76,Tool Familiarization,standard,1.0,1,sympy.sympify:0.160|sympy.sympify:0.121|sympy.sympify:0.101
77,Tool Familiarization,standard,-1.0,0,sympy.sympify:0.121|sympy.sympify:0.098|sympy.sympify:0.089
78,Tool Familiarization,standard,1.0,1,sympy.sympify:0.121|sympy.sympify:0.100|sympy.sympify:0.098
79,Tool Familiarization,standard,1.0,1,sympy.sympify:0.121|sympy.sympify:0.100|operator.add:0.100
80,Tool Familiarization,standard,1.0,1,sympy.sympify:0.121|sympy.sympify:0.100|operator.add:0.100
81,Tool Familiarization,standard,1.0,1,sympy.sympify:0.121|sympy.sympify:0.100|operator.add:0.100
82,Tool Familiarization,standard,1.0,1,sympy.sympify:0.121|sympy.sympify:0.100|operator.add:0.100
83,Tool Familiarization,standard,1.0,1,sympy.sympify:0.121|sympy.sympify:0.100|operator.add:0.100
84,Tool Expansion,standard,1.0,1,sympy.sympify:0.121|sympy.sympify:0.100|operator.add:0.100
85,Tool Expansion,standard,-1.0,0,sympy.sympify:0.067|sympy.sympify:0.067|sympy.sympify:0.066
86,Tool Expansion,standard,1.0,1,math.sqrt:0.100|sympy.sympify:0.067|sympy.sympify:0.067
87,Tool Expansion,standard,-1.0,0,math.sqrt:0.076|sympy.sympify:0.075|sympy.sympify:0.073
88,Tool Expansion,standard,1.0,1,math.sqrt:0.100|sympy.sympify:0.078|math.sqrt:0.076
89,Tool Expansion,standard,1.0,1,math.sqrt:0.100|math.sqrt:0.100|sympy.sympify:0.078
90,Tool Expansion,standard,1.0,1,math.sqrt:0.100|math.sqrt:0.100|numpy.mean:0.100
91,Tool Expansion,standard,-1.0,0,sympy.sympify:0.074|sympy.sympify:0.074|math.sqrt:0.069
92,Tool Expansion,standard,1.0,1,numpy.mean:0.100|sympy.sympify:0.074|sympy.sympify:0.074
93,Tool Expansion,standard,1.0,1,numpy.mean:0.100|math.sqrt:0.100|sympy.sympify:0.074
94,Tool Expansion,standard,1.0,1,math.sqrt:0.100|math.sqrt:0.075|numpy.mean:0.073
95,Tool Expansion,standard,-1.0,0,sympy.sympify:0.075|math.sqrt:0.074|sympy.sympify:0.070
96,Tool Expansion,standard,1.0,1,math.sqrt:0.100|sympy.sympify:0.075|math.sqrt:0.074
97,Tool Expansion,standard,1.0,1,math.sqrt:0.100|operator.gt:0.100|sympy.sympify:0.075
98,Tool Expansion,standard,1.0,1,math.sqrt:0.100|operator.gt:0.100|math.sqrt:0.100
99,Tool Expansion,standard,1.0,1,math.sqrt:0.100|operator.gt:0.100|math.sqrt:0.100
100,Tool Expansion,standard,-1.0,0,math.sqrt:0.069|math.sqrt:0.065|sympy.sympify:0.063
101,Tool Expansion,standard,1.0,1,operator.gt:0.100|math.sqrt:0.069|math.sqrt:0.065
102,Tool Expansion,standard,-1.0,0,operator.gt:0.080|math.sqrt:0.069|math.sqrt:0.062
103,Tool Expansion,standard,1.0,1,math.sqrt:0.100|operator.gt:0.080|math.sqrt:0.070
104,Tool Expansion,standard,-1.0,0,math.sqrt:0.075|math.sqrt:0.072|operator.gt:0.071
105,Tool Expansion,standard,1.0,1,math.sqrt:0.100|math.sqrt:0.075|math.sqrt:0.072
106,Tool Expansion,standard,1.0,1,math.sqrt:0.100|math.sqrt:0.100|math.sqrt:0.075
107,Tool Expansion,standard,1.0,1,math.sqrt:0.100|math.sqrt:0.100|operator.gt:0.100
108,Tool Expansion,standard,-1.0,0,math.sqrt:0.077|math.sqrt:0.072|math.sqrt:0.066
